op_type, network_size, n_connections, total_time
join, 1, 0, 0
lookup, 1, 2, 0.0
join, 2, 53, 13.245510305262851
localize, 2, 3, 0.5194317766769752
lookup, 2, 2, 0.2597158883384876
lookup, 2, 3, 0.5194317766769752
lookup, 2, 2, 0.2597158883384876
lookup, 2, 3, 0.5194317766769752
join, 3, 53, 21.818288923587463
join, 4, 65, 20.53628737293925
join, 5, 58, 46.348166513777535
lookup, 5, 4, 3.6212376681509824
lookup, 5, 4, 3.6212376681509824
localize, 5, 4, 0.5341238840920967
join, 6, 68, 75.89756510261591
lookup, 6, 4, 2.8098544856111882
lookup, 6, 2, 0.09782159290437141
localize, 6, 3, 2.502134089630529
localize, 6, 4, 1.0838893066014088
lookup, 6, 3, 1.5587938656477978
localize, 6, 140, 56.234751665708906
join, 7, 75, 35.071054624015005
join, 8, 73, 41.258522774179674
lookup, 8, 4, 2.0383122386490635
localize, 8, 5, 2.956732048706853
lookup, 8, 3, 3.4759631455371296
lookup, 8, 3, 2.340834109833097
localize, 8, 173, 62.168714851595475
lookup, 8, 3, 1.340898087035237
lookup, 8, 5, 2.621552166557775
join, 9, 73, 48.18526075561829
lookup, 9, 3, 2.1374953844196813
localize, 9, 5, 3.415073130777189
lookup, 9, 5, 3.415073130777189
join, 10, 71, 50.16924682838955
lookup, 10, 4, 4.556321404832674
localize, 10, 5, 5.726531958350346
localize, 10, 4, 3.4069551928294826
join, 11, 101, 98.55013893816425
lookup, 11, 2, 1.3606718766609924
lookup, 11, 3, 2.2472344790358507
join, 12, 77, 50.78746356193573
localize, 12, 164, 117.24325905761235
lookup, 12, 4, 2.0155547605801276
localize, 12, 177, 151.87255825879768
localize, 12, 190, 148.56237011284523
lookup, 12, 5, 1.267504123104452
lookup, 12, 3, 3.6493779466698983
lookup, 12, 4, 2.8399560304332714
join, 13, 91, 61.11733439826053
lookup, 13, 5, 4.140977459835968
lookup, 13, 5, 1.267504123104452
join, 14, 83, 42.14085252291039
localize, 14, 3, 1.220274981735349
lookup, 14, 3, 0.5056488884342116
localize, 14, 5, 2.3740009456128837
localize, 14, 4, 0.834957305889264
lookup, 14, 3, 1.220274981735349
join, 15, 84, 46.14311887014125
lookup, 15, 2, 1.0345013275178092
lookup, 15, 3, 1.927312787918909
lookup, 15, 3, 2.719215520221764
localize, 15, 6, 2.982867754232216
lookup, 15, 5, 5.659349641143846
join, 16, 119, 102.8052719467383
lookup, 16, 5, 1.688251113176263
lookup, 16, 5, 1.688251113176263
join, 17, 91, 78.85882885145824
lookup, 17, 4, 1.0907536454704694
localize, 17, 201, 162.49486221265866
lookup, 17, 5, 5.610814875631367
lookup, 17, 3, 0.9218482125796682
lookup, 17, 4, 2.943649991316155
lookup, 17, 5, 4.283556981596437
lookup, 17, 3, 3.4200038668847457
join, 18, 98, 90.40012727347522
join, 19, 93, 40.20866752226841
localize, 19, 4, 2.363222212703322
lookup, 19, 4, 3.4346053922404614
join, 20, 95, 100.93857855331937
join, 21, 129, 108.18600439816288
join, 22, 99, 80.21111369353986
lookup, 22, 4, 2.919171300143472
join, 23, 112, 56.16492327904552
join, 24, 102, 71.80566471380207
join, 25, 125, 91.69974986135045
join, 26, 135, 102.86559392820887
lookup, 26, 5, 3.0445004018170723
lookup, 26, 4, 1.7358600652489558
lookup, 26, 2, 0.44039810778568295
lookup, 26, 5, 1.9401624329564777
lookup, 26, 6, 4.066946561652797
localize, 26, 4, 3.9693686824972665
lookup, 26, 7, 4.537505513665017
lookup, 26, 4, 1.802954886699713
lookup, 26, 3, 2.0309506226103173
lookup, 26, 4, 4.402082008337633
lookup, 26, 6, 5.8114498118065505
join, 27, 95, 88.68781764520857
lookup, 27, 5, 3.672399952022961
lookup, 27, 5, 4.577148480935284
lookup, 27, 3, 2.7623577042134198
join, 28, 102, 110.08023483727142
lookup, 28, 4, 3.7632168155729264
lookup, 28, 5, 5.037748377258533
join, 29, 102, 93.29748960994662
lookup, 29, 3, 4.668381861411351
join, 30, 122, 115.33215022470989
join, 31, 105, 121.2305053285519
lookup, 31, 5, 3.783937802341961
localize, 31, 240, 189.57941215288758
localize, 31, 5, 4.393947455746655
localize, 31, 3, 1.1694291893105435
lookup, 31, 6, 6.757648907415092
localize, 31, 224, 160.76949986106916
localize, 31, 224, 205.8975924071483
lookup, 31, 5, 3.4640722242818907
lookup, 31, 6, 5.819590848142049
lookup, 31, 4, 4.051760760066314
lookup, 31, 6, 6.50994003317577
localize, 31, 193, 136.66460567507337
lookup, 31, 5, 4.971571210017308
lookup, 31, 3, 3.9112696712065143
lookup, 31, 4, 5.0993345555262986
lookup, 31, 5, 3.0713252173872805
lookup, 31, 4, 2.7371514743239493
localize, 31, 222, 202.6163622747007
lookup, 31, 6, 6.637645813117163
localize, 31, 162, 205.29064906743
join, 32, 105, 56.26603037559236
lookup, 32, 4, 3.7983706963548896
lookup, 32, 4, 2.3186869709230233
lookup, 32, 3, 1.8242203748613417
join, 33, 104, 107.27798889755562
join, 34, 98, 97.5106092683521
localize, 34, 4, 4.5281126714548225
join, 35, 115, 109.1717689272257
localize, 35, 4, 1.6702513065797433
lookup, 35, 5, 3.575983762057273
localize, 35, 3, 0.8369946539124946
lookup, 35, 4, 2.1554126179279964
localize, 35, 7, 3.603016511274115
lookup, 35, 3, 2.9254406643608935
lookup, 35, 3, 1.014679262520807
lookup, 35, 5, 6.250731957200961
join, 36, 150, 130.91167772151803
lookup, 36, 4, 3.12631541937108
lookup, 36, 4, 2.176739153292116
join, 37, 155, 117.6530470566695
join, 38, 123, 111.48959676748596
lookup, 38, 6, 3.163782595128639
join, 39, 149, 160.4743174836241
lookup, 39, 6, 5.530414508342114
lookup, 39, 3, 2.037223923528873
localize, 39, 6, 4.625872195969751
lookup, 39, 6, 8.756237294804816
lookup, 39, 5, 2.570037640079642
lookup, 39, 4, 3.4420244211111
localize, 39, 7, 7.227984025448762
localize, 39, 189, 188.65960325427568
lookup, 39, 4, 1.8608857365387748
localize, 39, 218, 151.6349714800471
lookup, 39, 4, 6.0048026821690685
lookup, 39, 5, 2.757887939431001
lookup, 39, 4, 4.010333497422456
lookup, 39, 3, 3.3849045156627993
join, 40, 123, 104.13442678730489
join, 41, 111, 97.85256078092596
lookup, 41, 4, 2.862831520043155
lookup, 41, 4, 1.481661449151815
lookup, 41, 5, 4.991799874266093
lookup, 41, 5, 3.748115900815633
lookup, 41, 6, 4.759483108047609
join, 42, 120, 77.90185633603541
join, 43, 121, 124.85864663127714
lookup, 43, 4, 3.235460312541016
lookup, 43, 4, 2.627777356019839
join, 44, 108, 111.59450151187058
lookup, 44, 5, 3.3562835623008946
localize, 44, 5, 6.319259808868274
localize, 44, 3, 1.6612290980840458
localize, 44, 260, 209.30870674609886
lookup, 44, 4, 2.373581431513296
join, 45, 109, 87.19145067788678
lookup, 45, 6, 4.457982057314785
lookup, 45, 4, 2.9252016289480123
localize, 45, 3, 2.66274182720963
localize, 45, 5, 4.11032957484592
lookup, 45, 6, 4.125685610626391
localize, 45, 4, 3.441711035295117
join, 46, 114, 93.8693529755239
join, 47, 121, 120.64484262633256
join, 48, 127, 136.755700790545
lookup, 48, 5, 3.8348359333899142
lookup, 48, 3, 2.435096389345809
lookup, 48, 3, 2.9781130707532064
join, 49, 138, 92.5985214728791
join, 50, 125, 81.70939941007497
join, 51, 119, 72.20014170221765
join, 52, 139, 117.31002807960584
join, 53, 136, 112.37459370204922
lookup, 53, 5, 2.8529435159626235
localize, 53, 5, 2.1537437963832886
lookup, 53, 4, 2.9483671461518908
lookup, 53, 5, 4.289915585398668
localize, 53, 3, 1.2668701397896296
lookup, 53, 6, 3.9836792239144776
lookup, 53, 2, 0.8800872683090455
lookup, 53, 5, 2.8526339462079418
lookup, 53, 5, 4.170222055915444
lookup, 53, 5, 4.0401232268644165
join, 54, 135, 120.43233791731483
lookup, 54, 5, 2.892249331549184
lookup, 54, 3, 1.5088323294278405
lookup, 54, 4, 4.128744652242343
lookup, 54, 6, 3.907787395498895
lookup, 54, 3, 1.2116426240014329
