op_type, network_size, n_connections, total_time
join, 1, 0, 0
join, 2, 48, 27.682235436267028
lookup, 2, 2, 0.615160787472601
lookup, 2, 3, 1.230321574945202
join, 3, 67, 48.18779388078695
lookup, 3, 4, 2.233360157413177
lookup, 3, 2, 1.0574145331387617
lookup, 3, 3, 2.6756139030793378
lookup, 3, 3, 2.1148290662775233
join, 4, 57, 60.471341573143086
localize, 4, 3, 2.5660130444146967
lookup, 4, 3, 2.033029485378661
lookup, 4, 4, 3.805437984596324
lookup, 4, 3, 2.6756139030793378
localize, 4, 3, 2.033029485378661
localize, 4, 4, 2.233360157413177
localize, 4, 123, 109.54627371604997
lookup, 4, 2, 0.8272766163198324
lookup, 4, 3, 2.1148290662775233
localize, 4, 4, 2.353897215567465
lookup, 4, 3, 3.7303581543775497
lookup, 4, 2, 1.0574145331387617
localize, 4, 4, 2.353897215567465
lookup, 4, 2, 0.5607848368018146
lookup, 4, 2, 0.5607848368018146
join, 5, 71, 61.160464759832315
join, 6, 70, 60.5967959208401
localize, 6, 4, 2.7339668207231993
lookup, 6, 3, 1.5725840589931943
localize, 6, 3, 2.0385424598183484
join, 7, 66, 47.79084684962829
join, 8, 82, 86.47585917632708
lookup, 8, 4, 3.0229849586853077
join, 9, 73, 70.35831900612227
localize, 9, 156, 145.96642709804402
lookup, 9, 4, 3.672897861450511
join, 10, 73, 61.49140126205162
localize, 10, 4, 3.2369859851340688
lookup, 10, 3, 3.222979292931716
localize, 10, 175, 135.9423932496592
lookup, 10, 4, 4.471906052153704
localize, 10, 3, 4.261928636522538
lookup, 10, 4, 4.066932188888151
lookup, 10, 3, 2.473387023144851
lookup, 10, 2, 0.7614482473761045
lookup, 10, 3, 3.147107969499196
join, 11, 80, 56.62670777806416
join, 12, 76, 62.226325476624346
lookup, 12, 3, 2.473387023144851
lookup, 12, 3, 3.59399919976199
lookup, 12, 5, 4.070577622759615
localize, 12, 4, 3.5295177951451153
lookup, 12, 4, 5.35811702395256
lookup, 12, 3, 3.849492738130847
lookup, 12, 5, 3.812843586244352
localize, 12, 199, 161.9265449515389
localize, 12, 5, 5.364262959325193
localize, 12, 3, 1.8989486504897797
join, 13, 86, 73.91678953595401
lookup, 13, 4, 4.245366339422121
join, 14, 83, 65.31077342419063
localize, 14, 210, 173.10746246544042
lookup, 14, 5, 4.543170303548987
localize, 14, 182, 191.2393198913484
lookup, 14, 5, 4.712387799004635
lookup, 14, 4, 2.668561588504761
join, 15, 87, 76.31866724887824
