op_type, network_size, n_connections, total_time
lookup, 15, 5, 4.386881222830002
lookup, 15, 3, 1.6589004754741652
join, 16, 81, 42.70693137215998
join, 17, 87, 48.08824532972909
join, 18, 87, 88.2737321166671
localize, 18, 214, 162.4160401808055
lookup, 18, 3, 1.8613617102060962
lookup, 18, 4, 5.249571431600596
lookup, 18, 4, 2.874811977183519
join, 19, 89, 91.80174973252558
lookup, 19, 5, 5.94506178367029
lookup, 19, 4, 6.448000794832495
localize, 19, 152, 147.80204852713698
localize, 19, 166, 175.88657883702803
localize, 19, 4, 3.4633761170307693
lookup, 19, 3, 1.9098971345109015
join, 20, 88, 78.45344358700261
lookup, 20, 4, 2.182637704708286
localize, 20, 4, 3.4084308360936033
localize, 20, 184, 198.56671015340063
localize, 20, 4, 4.112270056422153
lookup, 20, 5, 3.497430200582901
lookup, 20, 6, 4.256590645803268
join, 21, 93, 90.16768645538663
lookup, 21, 4, 2.7992226940873466
lookup, 21, 4, 3.928080870001279
lookup, 21, 4, 2.8416706213531757
lookup, 21, 6, 4.492298465682867
join, 22, 93, 87.02677477420531
join, 23, 109, 95.69040496646456
localize, 23, 5, 4.219539594366651
join, 24, 106, 93.80420780183557
localize, 24, 3, 2.7002027036460428
localize, 24, 3, 3.7526333468302013
join, 25, 114, 119.7893336375436
localize, 25, 168, 147.15120720260657
lookup, 25, 3, 1.2517953852185864
lookup, 25, 4, 2.7865014147961644
lookup, 25, 4, 4.623099132704505
join, 26, 117, 123.29859875489772
lookup, 26, 6, 4.492298465682867
lookup, 26, 5, 4.194875448902719
lookup, 26, 3, 1.1003288722099134
lookup, 26, 5, 4.062534764197269
localize, 26, 171, 132.6118829503562
lookup, 26, 5, 5.628020669956237
localize, 26, 221, 213.54288361995884
lookup, 26, 4, 3.098888465754851
lookup, 26, 6, 3.4048549406474695
lookup, 26, 5, 4.062534764197269
lookup, 26, 6, 3.0427135155436953
join, 27, 126, 130.48854188989878
join, 28, 136, 87.92393407597592
join, 29, 101, 76.99869968604071
join, 30, 112, 65.4736017560565
lookup, 30, 4, 5.5986121968497935
lookup, 30, 3, 1.5733120493850605
join, 31, 114, 123.17145176305587
lookup, 31, 3, 4.828573682918147
lookup, 31, 3, 2.1580926038613577
join, 32, 106, 87.2250114914012
localize, 32, 175, 115.88651787414491
lookup, 32, 4, 3.9255556352948626
lookup, 32, 5, 4.117360414290162
lookup, 32, 3, 4.18899987429532
lookup, 32, 6, 4.636138611223584
lookup, 32, 3, 2.608385862102162
lookup, 32, 5, 5.256638488940292
lookup, 32, 3, 1.2517953852185864
join, 33, 110, 127.64138927525889
lookup, 33, 5, 3.4842879199897654
localize, 33, 5, 3.0793940606438506
join, 34, 106, 140.65465344107918
localize, 34, 4, 4.971169427540179
lookup, 34, 4, 4.240621358080701
localize, 34, 208, 204.0014333316643
localize, 34, 4, 4.756807447386787
lookup, 34, 3, 0.51586545997212
localize, 34, 4, 5.268621850791805
lookup, 34, 3, 0.7066760098008638
lookup, 34, 5, 1.724667767587023
localize, 34, 3, 1.7623354447013035
join, 35, 119, 79.85878422239797
join, 36, 114, 103.6916758430763
join, 37, 104, 94.31337014978052
localize, 37, 191, 180.62889616219866
lookup, 37, 4, 3.934488096657541
join, 38, 124, 136.86316516935713
join, 39, 103, 69.72697417113267
lookup, 39, 4, 2.410314865751861
localize, 39, 246, 207.16352867753562
lookup, 39, 4, 2.6743461758229747
lookup, 39, 5, 5.368730570950592
lookup, 39, 4, 3.4648154638501767
lookup, 39, 5, 6.046419397289974
join, 40, 114, 88.70771205779651
lookup, 40, 3, 2.8410535420822707
lookup, 40, 5, 5.183967766096082
lookup, 40, 3, 2.447071198038803
lookup, 40, 6, 4.877060274504682
lookup, 40, 5, 4.808770513464653
join, 41, 118, 77.92298294939069
lookup, 41, 6, 5.711152069150456
lookup, 41, 4, 4.3767058801185215
localize, 41, 4, 2.2994985570934494
localize, 41, 4, 1.6196736893292183
join, 42, 136, 107.33766928672763
lookup, 42, 7, 6.879089810868824
lookup, 42, 6, 5.904954746291381
lookup, 42, 4, 2.8619535646366963
lookup, 42, 6, 2.97046652946309
lookup, 42, 3, 1.8360583081779
lookup, 42, 3, 1.0187649419930824
join, 43, 109, 62.3059361753407
localize, 43, 4, 2.0457648068859
lookup, 43, 5, 5.314285298864283
lookup, 43, 4, 5.115945873337921
localize, 43, 3, 1.8670093159496517
join, 44, 97, 74.16581944536632
lookup, 44, 5, 5.102378952689097
lookup, 44, 5, 5.12054839680625
lookup, 44, 5, 3.8110016652795315
join, 45, 123, 97.33666240269851
lookup, 45, 4, 3.300410389527014
lookup, 45, 4, 1.0150910924920762
localize, 45, 214, 171.34783335442404
join, 46, 111, 125.86126274365853
lookup, 46, 5, 4.035006259419298
lookup, 46, 3, 3.82891210189886
join, 47, 103, 82.83897159333664
join, 48, 120, 124.77724900444657
join, 49, 152, 152.68910694432915
lookup, 49, 5, 3.944081811890669
lookup, 49, 5, 3.852070086248551
lookup, 49, 5, 2.6877014674062707
lookup, 49, 5, 7.029195105619976
join, 50, 124, 136.0393326433325
lookup, 50, 4, 2.7357342429120255
join, 51, 116, 104.04178602653688
join, 52, 135, 121.91172259596033
lookup, 52, 3, 1.935891030267584
lookup, 52, 4, 2.6772047723287153
lookup, 52, 7, 5.787581393563962
lookup, 52, 4, 1.5319366384748796
lookup, 52, 3, 1.4718443643050545
lookup, 52, 3, 1.538159977787043
localize, 52, 5, 1.7716568085724123
lookup, 52, 4, 3.310664769910746
lookup, 52, 4, 3.8918361523537994
localize, 52, 6, 6.852542046100246
lookup, 52, 5, 3.6574097899613913
localize, 52, 196, 105.74192970921774
lookup, 52, 4, 1.4366561953627812
join, 53, 102, 84.21686594751363
join, 54, 146, 88.2465252430406
localize, 54, 5, 5.488379893443644
lookup, 54, 3, 1.6718897622304572
lookup, 54, 5, 4.48418064981026
lookup, 54, 5, 3.8142760453630555
lookup, 54, 5, 4.336920593085107
lookup, 54, 6, 5.423065750275679
lookup, 54, 3, 4.290558396098914
lookup, 54, 4, 4.261290772106504
lookup, 54, 5, 1.3373948835603968
lookup, 54, 4, 1.4825373034496936
localize, 54, 4, 1.7185572955321564
lookup, 54, 5, 3.13168670785437
lookup, 54, 6, 3.7953581040033884
localize, 54, 6, 4.730507966048975
join, 55, 115, 112.98064501035343
localize, 55, 4, 4.436970435257798
lookup, 55, 4, 5.410580281090367
lookup, 55, 6, 3.188840897682377
lookup, 55, 5, 2.289454512513834
lookup, 55, 6, 3.0478677806465493
lookup, 55, 5, 5.627012329930613
join, 56, 126, 81.94479203821241
lookup, 56, 6, 3.8095567790026554
localize, 56, 214, 172.21909137207135
localize, 56, 202, 157.03357361862146
lookup, 56, 3, 1.3460063223763605
lookup, 56, 4, 2.2994985570934494
lookup, 56, 4, 3.8931531620254596
join, 57, 131, 107.36199866265966
join, 58, 113, 35.84276767119261
lookup, 58, 4, 3.840889337826575
join, 59, 115, 89.34332165608367
lookup, 59, 4, 0.8967504105478805
localize, 59, 3, 1.761449571673011
join, 60, 113, 70.20738397200796
localize, 60, 224, 261.4081335132756
join, 61, 118, 80.09260635483136
join, 62, 128, 133.22647443897696
lookup, 62, 5, 4.009962672988038
lookup, 62, 5, 3.48811513674929
lookup, 62, 5, 1.496259952066002
join, 63, 130, 104.40910818759296
localize, 63, 235, 199.62782876258518
lookup, 63, 6, 3.714956257094747
join, 64, 123, 90.31851071028666
localize, 64, 233, 180.12321290834376
localize, 64, 6, 6.654823347812799
lookup, 64, 5, 2.046881059887553
join, 65, 142, 141.08852200433776
lookup, 65, 4, 1.8288645376256438
lookup, 65, 6, 4.035587090791104
localize, 65, 6, 4.906935196071486
localize, 65, 216, 160.30744700093365
lookup, 65, 5, 4.2897379354881
lookup, 65, 4, 3.4303141772697505
lookup, 65, 6, 3.4044448486458276
localize, 65, 195, 124.78568990482171
localize, 65, 4, 1.5583902284412412
lookup, 65, 5, 2.5292040253603245
localize, 65, 236, 146.91946184475364
lookup, 65, 6, 5.676103626296395
lookup, 65, 4, 2.710880663767763
lookup, 65, 5, 4.980640373271418
lookup, 65, 4, 2.645555359121281
lookup, 65, 5, 1.8029428236078937
localize, 65, 3, 2.475462527803657
lookup, 65, 2, 0.19101306178633937
lookup, 65, 4, 2.9214582412644736
join, 66, 126, 59.84279200917557
localize, 66, 4, 3.2887926655441873
localize, 66, 6, 7.140701072411223
localize, 66, 6, 6.265840739595848
lookup, 66, 4, 3.76443395061357
localize, 66, 6, 1.8568965656287002
join, 67, 133, 80.50202995761525
lookup, 67, 6, 4.512954899766009
lookup, 67, 5, 6.835024664689273
localize, 67, 223, 158.58511412664694
localize, 67, 209, 157.60036965084578
lookup, 67, 4, 3.772104949811209
lookup, 67, 4, 3.9603562243762096
join, 68, 123, 129.7578115627254
lookup, 68, 5, 1.3174194598767595
lookup, 68, 3, 1.761449571673011
lookup, 68, 5, 4.003208050342931
lookup, 68, 5, 3.0816337276640935
join, 69, 102, 83.88261360498875
join, 70, 135, 108.69926298412419
lookup, 70, 6, 7.587666969185179
lookup, 70, 5, 5.465569421034796
localize, 70, 4, 3.3751435856073537
localize, 70, 240, 168.86869728484533
join, 71, 122, 102.91291590156204
lookup, 71, 4, 3.760784130368363
lookup, 71, 2, 0.759137408392973
localize, 71, 6, 4.586049674859866
lookup, 71, 3, 3.3330976219730175
lookup, 71, 5, 2.1814302306045072
join, 72, 169, 105.3950652080586
join, 73, 157, 167.22721098634491
lookup, 73, 4, 2.389466496220932
join, 74, 134, 82.46583212092524
join, 75, 125, 75.98326271502064
localize, 75, 5, 4.729701882875606
localize, 75, 5, 3.4182991842816874
join, 76, 143, 112.58667620932872
localize, 76, 6, 5.951056986034008
localize, 76, 6, 5.685726789919867
lookup, 76, 5, 2.795285891140049
join, 77, 135, 126.57250565729497
join, 78, 123, 121.53167661716869
lookup, 78, 4, 1.4548624827553824
localize, 78, 6, 4.717034874831165
join, 79, 124, 88.48601607988662
join, 80, 129, 105.32386151235691
lookup, 80, 6, 6.124024391113393
join, 81, 133, 102.80664343008644
localize, 81, 239, 190.21056982258656
join, 82, 137, 99.26326817764911
lookup, 82, 4, 1.696377164749998
lookup, 82, 5, 4.019797994778116
lookup, 82, 6, 6.225255151349975
lookup, 82, 6, 7.070418224267001
lookup, 82, 6, 3.237493169963621
localize, 82, 240, 188.14025500732907
join, 83, 136, 108.13430206442916
lookup, 83, 4, 4.237526644206204
localize, 83, 5, 3.345604427224047
localize, 83, 233, 279.2162740605669
join, 84, 144, 101.80309099919917
localize, 84, 276, 210.88450966030084
localize, 84, 246, 210.00203592578177
lookup, 84, 7, 2.6012936167034617
join, 85, 168, 94.77582782965203
lookup, 85, 5, 2.8521858456310087
lookup, 85, 5, 3.862127958682518
join, 86, 146, 114.19604065002348
join, 87, 136, 93.3360580811154
join, 88, 111, 93.08490245468079
join, 89, 132, 129.88920348902997
join, 90, 140, 109.20678726253
join, 91, 132, 126.5180748810625
localize, 91, 4, 1.6692302136986612
lookup, 91, 3, 1.586500641955639
join, 92, 127, 72.01856524112547
lookup, 92, 5, 2.637137344463208
localize, 92, 6, 4.485677928451987
join, 93, 129, 102.28900522419293
lookup, 93, 5, 4.914399284758094
lookup, 93, 6, 3.1533974090980714
lookup, 93, 5, 2.40880896236689
join, 94, 131, 108.53169810882383
lookup, 94, 6, 5.071676913058182
join, 95, 161, 120.90559798627793
lookup, 95, 7, 5.798298694887864
localize, 95, 5, 5.855969089196584
lookup, 95, 6, 5.000079713274978
lookup, 95, 6, 3.991434249804831
lookup, 95, 3, 2.711701512064301
localize, 95, 261, 215.59362876200169
join, 96, 156, 124.11141647788048
lookup, 96, 6, 4.152410369217854
localize, 96, 7, 3.5335472157339285
lookup, 96, 4, 2.886869964881206
join, 97, 147, 102.34507311183114
lookup, 97, 4, 2.3283071405690396
lookup, 97, 6, 6.912665335397652
join, 98, 119, 92.45748877203754
localize, 98, 5, 3.391511856908508
lookup, 98, 5, 3.2695157731305553
join, 99, 149, 100.01138381287744
join, 100, 165, 153.52741804696245
join, 101, 150, 128.64539179816748
lookup, 101, 7, 4.430795675107983
localize, 101, 4, 3.6539859759782014
join, 102, 125, 94.27404562471015
join, 103, 141, 105.15739049324537
localize, 103, 4, 2.2875762259017534
join, 104, 125, 74.86060536929944
localize, 104, 3, 2.1262852273783275
lookup, 104, 3, 2.6223582557507075
lookup, 104, 4, 3.832346818369672
lookup, 104, 5, 3.6117688914462844
lookup, 104, 6, 3.615491905310579
lookup, 104, 5, 2.793735539128332
join, 105, 133, 99.09006880876319
localize, 105, 7, 6.82369409139047
join, 106, 140, 119.12565671811977
localize, 106, 4, 3.4895934495638707
localize, 106, 5, 3.2796422887468677
lookup, 106, 6, 5.819823628862846
join, 107, 147, 117.65196744300194
join, 108, 147, 99.89998324747907
join, 109, 118, 112.14674696476004
lookup, 109, 5, 4.38724167078983
localize, 109, 6, 3.707961004979813
join, 110, 150, 123.42024037845898
lookup, 110, 5, 6.361420506831514
lookup, 110, 5, 4.59283616012656
localize, 110, 220, 188.89613051110913
lookup, 110, 7, 6.116287688388684
lookup, 110, 4, 4.5232923975182935
lookup, 110, 5, 2.654971604335367
lookup, 110, 5, 2.4681435336284334
join, 111, 139, 88.55168498220202
lookup, 111, 4, 2.508848604122613
localize, 111, 8, 8.377835522313312
lookup, 111, 4, 1.2813260781488829
lookup, 111, 4, 3.4040198590586126
localize, 111, 4, 2.6204877272683493
lookup, 111, 6, 5.970127689942425
join, 112, 153, 134.2341886362637
localize, 112, 4, 4.328669319458207
localize, 112, 6, 4.42649910941898
localize, 112, 224, 179.6607892489223
join, 113, 154, 126.10184256320831
lookup, 113, 7, 4.151556816102874
localize, 113, 7, 6.011914874930257
join, 114, 132, 108.23675735001393
join, 115, 135, 96.12521947009104
lookup, 115, 5, 3.9740122381389207
lookup, 115, 4, 3.3249739432434255
lookup, 115, 6, 5.026136698184543
localize, 115, 4, 5.397187829141484
lookup, 115, 4, 5.7046768148303455
lookup, 115, 6, 4.396104471518131
join, 116, 156, 145.48425092110807
join, 117, 175, 107.672899449785
localize, 117, 5, 3.612822935690494
localize, 117, 277, 234.3156893132745
lookup, 117, 3, 1.365192262543871
lookup, 117, 5, 6.333351671153113
lookup, 117, 6, 3.2440698828338244
localize, 117, 3, 2.6695651496547015
lookup, 117, 4, 3.4708917195839195
join, 118, 162, 145.2457480329554
lookup, 118, 4, 0.6654021365629741
lookup, 118, 6, 2.4020783154666177
localize, 118, 232, 207.27619827963545
join, 119, 141, 73.23949160497659
lookup, 119, 7, 5.655486579847118
join, 120, 135, 91.94470192838317
join, 121, 148, 88.87605245528924
lookup, 121, 6, 4.144158454960372
localize, 121, 7, 4.378716026736093
lookup, 121, 6, 4.271108489701886
join, 122, 150, 127.98248112079045
localize, 122, 4, 1.398301136066733
lookup, 122, 4, 2.835508672333873
join, 123, 137, 111.5830196848539
lookup, 123, 4, 2.091277865490297
lookup, 123, 6, 3.948551294280893
lookup, 123, 2, 1.1347157873078966
localize, 123, 4, 2.846611887305981
join, 124, 133, 130.84046203644746
lookup, 124, 6, 4.871890099558863
lookup, 124, 3, 1.7095309828041707
lookup, 124, 7, 3.0142725048672627
localize, 124, 6, 6.136940513148283
lookup, 124, 5, 2.082712382105917
lookup, 124, 6, 6.337589164258675
lookup, 124, 4, 1.6068558717459518
lookup, 124, 5, 5.386168819194533
join, 125, 155, 116.57683838617167
localize, 125, 5, 4.994030630112126
localize, 125, 6, 4.729789782440962
join, 126, 146, 123.12622428933808
join, 127, 129, 93.16622434823805
lookup, 127, 6, 4.62366237523562
lookup, 127, 4, 4.240699153978107
lookup, 127, 8, 5.998386906898997
lookup, 127, 4, 2.214918730755456
localize, 127, 245, 157.2675763786778
lookup, 127, 6, 3.6014607841143906
join, 128, 149, 148.69040657977777
join, 129, 176, 121.04332906608138
lookup, 129, 4, 2.162800381138
lookup, 129, 6, 5.503245009215623
lookup, 129, 7, 5.475304971382223
join, 130, 127, 96.65739722780984
lookup, 130, 4, 1.0429629531205347
lookup, 130, 6, 4.469867173928888
lookup, 130, 5, 3.007212572637414
localize, 130, 242, 141.4154783394987
lookup, 130, 4, 3.4767333598602352
lookup, 130, 4, 4.249034416783612
lookup, 130, 6, 5.148447427183443
lookup, 130, 5, 4.522165128802806
lookup, 130, 6, 5.429148056461707
lookup, 130, 6, 5.121822059961693
join, 131, 163, 110.35742451923649
localize, 131, 228, 145.89315168881052
join, 132, 147, 126.67268268866057
join, 133, 174, 110.319200602207
localize, 133, 7, 7.233335192961735
lookup, 133, 3, 2.7406339962502475
localize, 133, 202, 199.35754462819867
localize, 133, 5, 2.638814711968767
join, 134, 179, 147.82482309271006
localize, 134, 4, 2.6204877272683493
lookup, 134, 6, 4.034335850773284
lookup, 134, 6, 4.016023741337406
localize, 134, 217, 132.8535358696484
join, 135, 154, 160.05156024358982
localize, 135, 6, 5.170771110393258
join, 136, 185, 142.193749487843
lookup, 136, 5, 5.0242672656221945
lookup, 136, 5, 4.7801405419488585
lookup, 136, 4, 2.5618848826812375
lookup, 136, 8, 9.059249578537418
lookup, 136, 5, 6.742214054505726
localize, 136, 6, 3.849569949492629
join, 137, 161, 110.38017715077932
lookup, 137, 7, 3.1451782335640535
join, 138, 151, 139.74369898960705
lookup, 138, 6, 5.826957082731372
join, 139, 159, 76.94972911347666
localize, 139, 279, 200.3963889699348
join, 140, 153, 128.6319258694427
localize, 140, 4, 2.2362587422265316
lookup, 140, 6, 2.651983401556811
lookup, 140, 6, 4.669224427388292
lookup, 140, 6, 4.83462497213338
join, 141, 139, 147.9078883664553
lookup, 141, 8, 4.252837166417772
join, 142, 153, 133.20337957481829
join, 143, 149, 100.8377252419874
lookup, 143, 7, 6.746419027713991
lookup, 143, 6, 6.047375263720518
localize, 143, 5, 5.085845307415323
lookup, 143, 6, 2.929979141027156
join, 144, 170, 131.79559234212593
lookup, 144, 6, 2.8637506560761303
join, 145, 158, 118.3633447565361
localize, 145, 4, 3.169080998300944
lookup, 145, 6, 5.468924990712834
lookup, 145, 6, 5.0822638843576105
lookup, 145, 5, 1.0578340560618908
join, 146, 144, 124.0975948724156
lookup, 146, 6, 7.346865498960858
lookup, 146, 4, 3.7616401711691583
localize, 146, 5, 6.4629350459910615
join, 147, 148, 130.05857999166764
join, 148, 118, 132.7883511729998
lookup, 148, 5, 3.039111911227602
localize, 148, 234, 161.76096428354722
lookup, 148, 5, 2.3607027993053467
join, 149, 153, 87.60681104942775
localize, 149, 261, 296.9121623549784
lookup, 149, 5, 2.3800574662503458
localize, 149, 226, 194.78857876832004
lookup, 149, 2, 0.29057382329226206
lookup, 149, 5, 3.309818286041701
localize, 149, 280, 237.289348716875
localize, 149, 288, 176.58321542675614
join, 150, 135, 129.0410754732413
join, 151, 163, 110.80240134843768
lookup, 151, 5, 3.963067972290026
lookup, 151, 5, 3.926869943324409
localize, 151, 4, 3.3580605568841166
localize, 151, 6, 4.157101984082975
localize, 151, 6, 6.7106782165704075
localize, 151, 257, 316.6586708267068
localize, 151, 4, 1.3313642020122292
join, 152, 140, 117.59039074296254
join, 153, 150, 131.22244618913453
localize, 153, 223, 198.4034551413744
localize, 153, 5, 2.2064316746831256
lookup, 153, 4, 3.650336450208699
join, 154, 153, 109.77057911037639
lookup, 154, 6, 4.679257085718734
join, 155, 182, 209.31458971966518
join, 156, 161, 134.12623756081865
lookup, 156, 7, 5.039465692139325
join, 157, 137, 142.62096007790376
lookup, 157, 6, 5.229181411595218
join, 158, 129, 89.78918940179203
lookup, 158, 6, 7.135724187166758
join, 159, 144, 172.51741907596664
join, 160, 155, 103.12391255051843
join, 161, 161, 107.96411548578399
lookup, 161, 4, 2.5575298847057386
lookup, 161, 6, 5.320334488939197
lookup, 161, 7, 4.839634023496746
lookup, 161, 4, 2.2659496619602066
lookup, 161, 4, 3.5526903274802897
join, 162, 145, 96.07993038381171
lookup, 162, 3, 2.0735088175414225
lookup, 162, 5, 3.809415545073376
localize, 162, 251, 174.38781610921643
localize, 162, 6, 6.387354587000756
lookup, 162, 6, 5.531198633774012
join, 163, 153, 105.21282577439997
lookup, 163, 6, 8.05600485141234
lookup, 163, 5, 4.545308086581496
join, 164, 143, 114.63443867616688
localize, 164, 5, 2.575184654440996
lookup, 164, 5, 4.811991184890237
join, 165, 173, 145.83626765096542
join, 166, 132, 99.0849940377352
lookup, 166, 6, 3.701734926241529
localize, 166, 251, 161.75810350289652
lookup, 166, 5, 2.7439032212336336
lookup, 166, 6, 4.609818622584495
localize, 166, 4, 4.244232137518834
join, 167, 172, 142.13845204679097
lookup, 167, 4, 3.8973802072010333
join, 168, 140, 106.48598071440648
join, 169, 180, 150.62248313500768
join, 170, 163, 149.86186929951495
lookup, 170, 7, 6.8774850557873854
join, 171, 159, 122.70920650152891
join, 172, 153, 123.92718256271606
lookup, 172, 6, 3.4398371639683876
join, 173, 134, 117.82933151625544
lookup, 173, 5, 5.2339070408184085
localize, 173, 8, 8.244511876497395
lookup, 173, 5, 3.3669299800970682
join, 174, 141, 116.90168240872283
lookup, 174, 5, 4.253018986523555
lookup, 174, 5, 6.538378228171293
lookup, 174, 6, 4.713119320091755
join, 175, 166, 127.61636399667748
lookup, 175, 5, 4.656457855030599
lookup, 175, 5, 4.769242282015236
lookup, 175, 5, 3.178804265588769
join, 176, 153, 118.41398342411615
lookup, 176, 4, 3.8533304901140872
lookup, 176, 5, 4.551065672480308
join, 177, 148, 135.47094361452156
localize, 177, 6, 8.065492804567246
lookup, 177, 5, 7.124114359673355
join, 178, 195, 158.5576292814705
join, 179, 152, 160.97051611445596
join, 180, 168, 172.9217205654164
lookup, 180, 4, 1.3328314444553762
lookup, 180, 5, 5.688011729970611
localize, 180, 253, 186.03414892470497
localize, 180, 6, 5.003790121642721
lookup, 180, 5, 3.6330460556576023
join, 181, 153, 118.93384270484066
join, 182, 165, 117.64902025085942
join, 183, 160, 103.46328719833407
join, 184, 155, 133.50709605862343
join, 185, 162, 127.5043480036574
lookup, 185, 5, 5.01112920697813
lookup, 185, 6, 6.545576718432811
lookup, 185, 2, 0.42794993990802105
lookup, 185, 5, 3.5287605453824527
lookup, 185, 5, 7.034207345851005
localize, 185, 266, 221.59753314821216
lookup, 185, 3, 2.3100505303479486
lookup, 185, 6, 4.579185265256671
localize, 185, 233, 209.44920466303452
join, 186, 166, 153.0147516211018
lookup, 186, 6, 2.407550822599503
join, 187, 177, 129.88624957984248
join, 188, 170, 165.10269172878762
localize, 188, 255, 203.22203392654689
lookup, 188, 7, 4.103524777250271
localize, 188, 272, 216.8115710363002
lookup, 188, 6, 4.785444081158589
localize, 188, 6, 3.719798679217733
lookup, 188, 5, 3.2037879908906284
lookup, 188, 5, 3.4563930686173405
join, 189, 163, 123.07810211580438
lookup, 189, 6, 6.244969701363733
lookup, 189, 4, 4.852630213763781
localize, 189, 7, 3.7169013532771946
lookup, 189, 6, 5.56171976333872
lookup, 189, 7, 7.631481854763907
lookup, 189, 2, 0.7508425039472165
lookup, 189, 6, 5.927517534473417
join, 190, 158, 141.06778597035617
lookup, 190, 4, 4.86774001765462
localize, 190, 269, 274.15204235112355
lookup, 190, 7, 3.5843554664381587
lookup, 190, 6, 4.433945913969217
join, 191, 160, 158.57670309722212
localize, 191, 229, 197.32830707330777
join, 192, 170, 110.95974380575429
lookup, 192, 4, 5.23087915100656
join, 193, 162, 114.69529719972479
lookup, 193, 6, 6.575789762552062
lookup, 193, 6, 3.8138701633731853
lookup, 193, 5, 3.627891215407082
join, 194, 193, 159.99072604872606
lookup, 194, 6, 7.27905432459724
lookup, 194, 6, 4.481533248184646
lookup, 194, 6, 8.433866497017874
lookup, 194, 7, 4.064419189070939
join, 195, 187, 175.67925974757054
lookup, 195, 5, 5.753594790073102
lookup, 195, 5, 4.137335435662054
join, 196, 147, 110.61481697803414
lookup, 196, 5, 6.370545166745265
lookup, 196, 4, 2.9131075213017965
lookup, 196, 5, 6.773633430714266
lookup, 196, 3, 2.1794054124875903
lookup, 196, 5, 1.8905067475828026
lookup, 196, 7, 5.803013135978526
lookup, 196, 5, 5.539372939021064
lookup, 196, 4, 2.245021543469186
localize, 196, 4, 2.605071864646761
lookup, 196, 5, 5.780633148256272
join, 197, 165, 111.39750149363611
lookup, 197, 4, 3.6196115541714704
lookup, 197, 7, 6.644679611201534
lookup, 197, 6, 5.817914825814192
join, 198, 169, 146.94795109143752
lookup, 198, 4, 5.256848744337942
lookup, 198, 5, 3.265543982086155
lookup, 198, 7, 10.028871130607785
join, 199, 152, 139.52699400930067
localize, 199, 225, 210.3087220516048
lookup, 199, 6, 3.2859863439067563
lookup, 199, 7, 6.155244204829306
localize, 199, 6, 4.231111391185733
lookup, 199, 6, 4.277750472629287
localize, 199, 6, 4.415647919357655
lookup, 199, 6, 2.0919868339105028
lookup, 199, 7, 7.814563392878715
join, 200, 160, 169.33116091606934
lookup, 200, 6, 4.900389990191674
lookup, 200, 5, 3.5156715158408636
lookup, 200, 3, 1.7258005969469583
lookup, 200, 6, 3.9147940245442516
lookup, 200, 5, 4.257014342049763
localize, 200, 7, 5.400094772544262
join, 201, 149, 127.7600959529422
lookup, 201, 5, 5.017552453204777
lookup, 201, 7, 3.3869020305469544
lookup, 201, 5, 4.170846950090812
localize, 201, 268, 212.4883496322603
