op_type, op_index, network_size, n_connections, total_time
lookup, 7994, 2810, 9, 5.289462367498322
join, 7995, 2811, 298, 237.0013136351137
lookup, 7996, 2811, 11, 8.780907605750826
lookup, 7997, 2811, 6, 5.950972276065977
lookup, 7998, 2811, 5, 4.113199958381993
lookup, 7999, 2811, 8, 6.893467395680611
lookup, 8000, 2811, 6, 5.213407539447904
lookup, 8001, 2811, 10, 7.776003514094099
lookup, 8002, 2811, 7, 6.081000712342191
lookup, 8003, 2811, 10, 8.130888311371914
join, 8004, 2812, 327, 250.13299755968902
join, 8005, 2813, 283, 206.4558524614648
lookup, 8006, 2813, 8, 7.058773028917828
join, 8007, 2814, 313, 189.75785550847627
join, 8008, 2815, 296, 229.99919159103897
lookup, 8009, 2815, 7, 5.26209757386262
join, 8010, 2816, 310, 239.43330406130204
join, 8011, 2817, 304, 204.56785361708017
lookup, 8012, 2817, 12, 8.279649193065618
lookup, 8013, 2817, 6, 5.885110847247635
lookup, 8014, 2817, 7, 5.321306697020434
lookup, 8015, 2817, 5, 7.180164534163058
lookup, 8016, 2817, 8, 6.541177400090736
join, 8017, 2818, 285, 185.55409313553304
join, 8018, 2819, 285, 278.411827601295
lookup, 8019, 2819, 9, 5.495848810465082
lookup, 8020, 2819, 8, 7.587349874922258
lookup, 8021, 2819, 6, 3.170299248627789
lookup, 8022, 2819, 9, 5.152294961413342
lookup, 8023, 2819, 9, 8.823976581113426
lookup, 8024, 2819, 9, 8.202894396389652
lookup, 8025, 2819, 11, 10.252854999777256
join, 8026, 2820, 315, 243.7702423096721
lookup, 8027, 2820, 8, 6.52493085097463
lookup, 8028, 2820, 8, 5.732262189147986
join, 8029, 2821, 324, 259.1147266734003
join, 8030, 2822, 297, 228.43391225877224
join, 8031, 2823, 321, 259.44075000353166
join, 8032, 2824, 291, 231.69418764815052
lookup, 8033, 2824, 7, 3.627804655139399
lookup, 8034, 2824, 9, 7.104458584351447
join, 8035, 2825, 292, 225.81201938680374
lookup, 8036, 2825, 7, 6.7856447093444725
lookup, 8037, 2825, 7, 6.338549431000331
